IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
NA	PSZL	C4S75		wkB309		Apibacter	api_1	Apibacter sp.	Apis cerana	Kwong et al. (2018)	"Genting, Malaysia"	No
2785510743	NA	Ga0307799		ESL0404		Apibacter	api_1	Apibacter sp.	Apis cerana	Ellegaard et al. (2020)	"Yokohama, Japan"	No
2799112231	NA	Ga0312307		ESL0432		Apibacter	api_1	Apibacter sp.	Apis cerana	Ellegaard et al. (2020)	"Tsukuba, Japan"	Yes
NA	PSZN	C4S76		wkB180		Apibacter	api_apis_dorsa	Apibacter adventoris	Apis dorsata	Kwong et al. (2018)	Singapore	Yes
NA	PSZM	C4S77		wkB301		Apibacter	api_apis_dorsa	Apibacter adventoris	Apis dorsata	Kwong et al. (2018)	"Kuala Lumpur, Malaysia"	No
2615840617	LIVM	Ga0061079		R-53146		Apibacter	api_bombus	Apibacter mensalis	Bombus lapidarius	Kwong et al. (2018)	"Ghent, Belgium"	Yes
2751185858	CP015625.1	BBC0122		BBC0122		Bartonella	bapis	Bartonella apis	Apis mellifera	Segers et al. (2017)	"Switzerland, Engel apiary"	Yes
2751185853	CP015820.1	BBC0178		BBC0178		Bartonella	bapis	Bartonella apis	Apis mellifera	Segers et al. (2017)	"Switzerland, Engel apiary"	No
2751185856	CP015821.1	BBC0244		BBC0244		Bartonella	bapis	Bartonella apis	Apis mellifera	Segers et al. (2017)	"Switzerland, Engel apiary"	No
	NZ_JACFOU	H3S82		M0192		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFOY	H3S80		M0177		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFOO	H3S83		W8122		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFOW	H3S84		W8098		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
